,Description,FY 2024,FY 2023
0,Wholesale revenue,15210526,14476818
1,Company store revenue,3063158,2877543
2,E-commerce and subscription sales,3063157,2910339
3,Premium pint and novelty sales,12252632,11524851
4,Private label and co-packing,5309474,5015997
5,Export and licensing revenue,961054,929844
6,Total revenue,48500001,45925392
7,Dairy and sweetener ingredients,10261112,9885543
8,Flavorings and inclusions,3592593,3448215
9,Packaging materials,4311111,4063625
10,Direct labor and overtime,5748148,5492444
11,Utilities freight and maintenance,4217035,4040718
12,Total cost of goods sold,28129999,26930545
13,Gross profit,20370002,18994847
14,Sales and marketing,3203053,3011749
15,Distribution and warehousing,2515236,2379345
16,General and administrative,3405321,3225751
17,Insurance benefits and payroll taxes,1489390,1418618
18,Depreciation and amortization,1663446,1565333
19,Research and development and other,353951,335593
20,Total operating expenses,12629397,11955389
21,Operating income,7740605,7039458
22,Other income,349999,329111
23,Maintenance and interest expense,629999,594573
24,Income before income taxes,7460605,6769996
25,Income tax expense,1790545,1624799
26,Net income,5670060,5145197
