Description,FY 2024,FY 2023
Wholesale revenue,15210526,14476818
Company store revenue,3063158,2877543
E-commerce and subscription sales,3063157,2910339
Premium pint and novelty sales,12252632,11524851
Private label and co-packing,5309474,5015997
Export and licensing revenue,961054,929844
Total revenue,48500001,45925392
Dairy and sweetener ingredients,10261112,9885543
Flavorings and inclusions,3592593,3448215
Packaging materials,4311111,4063625
Direct labor and overtime,5748148,5492444
Utilities freight and maintenance,4217035,4040718
Total cost of goods sold,28129999,26930545
Gross profit,20370002,18994847
Sales and marketing,3203053,3011749
Distribution and warehousing,2515236,2379345
General and administrative,3405321,3225751
Insurance benefits and payroll taxes,1489390,1418618
Depreciation and amortization,1663446,1565333
Research and development and other,353951,335593
Total operating expenses,12629397,11955389
Operating income,7740605,7039458
Other income,349999,329111
Maintenance and interest expense,629999,594573
Income before income taxes,7460605,6769996
Income tax expense,1790545,1624799
Net income,5670060,5145197
